"titulo" "estrato.antigo" "qIF" "estrato.novo" "pontos"
"472" "Anti-Cancer Agents in Medicinal Chemistry" "B1" 48 "B1" 70
"473" "Antiquity" "B1" 98 "A1" 70
"474" "Applied Acoustics" "B1" 81 "A2" 70
"475" "Applied Geography" "B1" 95 "A1" 70
"476" "Applied Surface Science" "B1" 93 "A1" 70
"477" "Applied Thermal Engineering" "B1" 91 "A1" 70
"478" "Aquacultural Engineering" "B1" 83 "A2" 70
"479" "Aquaculture International" "B1" 70 "A3" 70
"480" "Aquaculture Nutrition" "B1" 81 "A2" 70
"481" "Aquaculture Research" "B1" 59 "A4" 70
"482" "Aquatic Botany" "B1" 74 "A3" 70
"483" "Aquatic Ecology" "B1" 79 "A2" 70
"484" "Aquatic Invasions" "B1" 64 "A3" 70
"485" "Aquatic Living Resources" "B1" 37 "B2" 70
"486" "Archives of Dermatological Research" "B1" 82 "A2" 70
"487" "Archives of Environmental Contamination and Toxicology" "B1" 67 "A3" 70
"488" "Archives of Insect Biochemistry and Physiology" "B1" 65 "A3" 70
"489" "Archives of Oral Biology" "B1" 82 "A2" 70
"490" "Arthropod-Plant Interactions" "B1" 75 "A3" 70
"491" "Asian Journal of Andrology" "B1" 81 "A2" 70
"492" "Astrobiology" "B1" 92 "A1" 70
"493" "Atmospheric Research" "B1" 89 "A1" 70
"494" "Austral Ecology" "B1" 62 "A4" 70
"495" "Austral Entomology" "B1" 74 "A3" 70
"496" "Australasian Plant Pathology" "B1" 59 "A4" 70
"497" "Australian Journal of Botany" "B1" 55 "A4" 70
"498" "Autoimmunity" "B1" 52 "A4" 70
"499" "Avian Pathology" "B1" 79 "A2" 70
"500" "Basic and Applied Ecology" "B1" 87 "A2" 70
"501" "Basic and Clinical Pharmacology and Toxicology" "B1" 55 "A4" 70
"502" "Behaviour" "B1" 73 "A3" 70
"503" "Behavioural Brain Research" "B1" 77 "A2" 70
"504" "Behavioural Processes" "B1" 84 "A2" 70
"505" "Bioacoustics" "B1" 58 "A4" 70
"506" "Biochemical Engineering Journal" "B1" 82 "A2" 70
"507" "Biochemical Journal" "B1" 82 "A2" 70
"508" "Biochemical Systematics and Ecology" "B1" 48 "B1" 70
"509" "Biochemistry" "B1" 62 "A4" 70
"510" "Biochimica et Biophysica Acta - Biomembranes" "B1" 85 "A2" 70
"511" "Biochimica et Biophysica Acta - Proteins and Proteomics" "B1" 73 "A3" 70
"512" "Biocontrol Science and Technology" "B1" 56 "A4" 70
"513" "Biologia Plantarum" "B1" 76 "A2" 70
"514" "Biological Bulletin" "B1" 73 "A3" 70
"515" "Biology Direct" "B1" 90 "A1" 70
"516" "Bioorganic and Medicinal Chemistry" "B1" 77 "A2" 70
"517" "Biotechnology for Biofuels" "B1" 97 "A1" 70
"518" "Biotechnology Progress" "B1" 68 "A3" 70
"519" "Biotropica" "B1" 83 "A2" 70
"520" "Bird Conservation International" "B1" 78 "A2" 70
"521" "BMC Complementary and Alternative Medicine" "B1" 92 "A1" 70
"522" "BMC Infectious Diseases" "B1" 73 "A3" 70
"523" "BMC Microbiology" "B1" 78 "A2" 70
"524" "Botanica Marina" "B1" 55 "A4" 70
"525" "Botany" "B1" 57 "A4" 70
"526" "British Journal of Nutrition" "B1" 84 "A2" 70
"527" "Bryologist" "B1" 72 "A3" 70
"528" "Bulletin of Insectology" "B1" 66 "A3" 70
"529" "Bulletin of Marine Science" "B1" 55 "A4" 70
"530" "Bulletin of the World Health Organization" "B1" 89 "A1" 70
"531" "Canadian Journal of Plant Science" "B1" 43 "B1" 70
"532" "Caries Research" "B1" 93 "A1" 70
"533" "Cell Stress and Chaperones" "B1" 61 "A4" 70
"534" "Chemical Biology and Drug Design" "B1" 64 "A3" 70
"535" "Chemical Communications" "B1" 96 "A1" 70
"536" "Chemistry and Physics of Lipids" "B1" 75 "A3" 70
"537" "Chemoecology" "B1" 73 "A3" 70
"538" "Chromosoma" "B1" 70 "A3" 70
"539" "Clinical Microbiology Reviews" "B1" 99 "A1" 70
"540" "Clinical Oral Investigations" "B1" 90 "A1" 70
"541" "Clinical Science" "B1" 97 "A1" 70
"542" "Colloids and Surfaces A: Physicochemical and Engineering Aspects" "B1" 76 "A2" 70
"543" "Communications in Nonlinear Science and Numerical Simulation" "B1" 97 "A1" 70
"544" "Communications in Soil Science and Plant Analysis" "B1" 44 "B1" 70
"545" "Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology" "B1" 39 "B1" 70
"546" "Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology" "B1" 68 "A3" 70
"547" "Computers and Electronics in Agriculture" "B1" 98 "A1" 70
"548" "Copeia" "B1" 64 "A3" 70
"549" "Cretaceous Research" "B1" 85 "A2" 70
"550" "Critical Reviews in Biotechnology" "B1" 94 "A1" 70
"551" "Crop Protection" "B1" 83 "A2" 70
"552" "Cryptogamie, Algologie" "B1" 64 "A3" 70
"553" "Cryptogamie, Bryologie" "B1" 58 "A4" 70
"554" "Current Anthropology" "B1" 97 "A1" 70
"555" "Current Opinion in Environmental Sustainability" "B1" 99 "A1" 70
"556" "Current Opinion in Gastroenterology" "B1" 85 "A2" 70
"557" "Current Pharmaceutical Design" "B1" 65 "A3" 70
"558" "Current Science" "B1" 59 "A4" 70
"559" "Current Topics in Medicinal Chemistry" "B1" 72 "A3" 70
"560" "Dental Materials" "B1" 99 "A1" 70
"561" "Development Genes and Evolution" "B1" 41 "B1" 70
"562" "Developmental Neurobiology" "B1" 66 "A3" 70
"563" "Diatom Research" "B1" 45 "B1" 70
"564" "Die Naturwissenschaften" "B1" 61 "A4" 70
"565" "Diseases of Aquatic Organisms" "B1" 65 "A3" 70
"566" "Diversity" "B1" 75 "A3" 70
"567" "Drug Safety" "B1" 83 "A2" 70
"568" "Drying Technology" "B1" 79 "A2" 70
"569" "Earth and Environmental Science Transactions of the Royal Society of Edinburgh" "B1" 67 "A3" 70
"570" "Earth and Planetary Science Letters" "B1" 97 "A1" 70
"571" "Earth Interactions" "B1" 80 "A2" 70
"572" "Ecohydrology" "B1" 84 "A2" 70
"573" "Ecological Research" "B1" 62 "A4" 70
"574" "Ecology and Evolution" "B1" 82 "A2" 70
"575" "Economic Botany" "B1" 75 "A3" 70
"576" "Ecoscience" "B1" 47 "B1" 70
"577" "Ecosphere" "B1" 86 "A2" 70
"578" "Ecotoxicology" "B1" 74 "A3" 70
"579" "Electroanalysis" "B1" 63 "A3" 70
"580" "Emu" "B1" 70 "A3" 70
"581" "Endangered Species Research" "B1" 73 "A3" 70
"582" "Energy" "B1" 99 "A1" 70
"583" "Entomologia Experimentalis et Applicata" "B1" 74 "A3" 70
"584" "Entomological Science" "B1" 60 "A4" 70
"585" "Environmental Biology of Fishes" "B1" 56 "A4" 70
"586" "Environmental Earth Sciences" "B1" 74 "A3" 70
"587" "Environmental Entomology" "B1" 74 "A3" 70
"588" "Environmental Geochemistry and Health" "B1" 85 "A2" 70
"589" "Environmental Impact Assessment Review" "B1" 96 "A1" 70
"590" "Environmental Management" "B1" 80 "A2" 70
"591" "Environmental Research Letters" "B1" 98 "A1" 70
"592" "Environmental Science and Policy" "B1" 98 "A1" 70
"593" "Environmental Science and Pollution Research" "B1" 78 "A2" 70
"594" "Environmental Sciences: Processes and Impacts" "B1" 88 "A1" 70
"595" "Environmental Technology (United Kingdom)" "B1" 64 "A3" 70
"596" "Environmental Toxicology" "B1" 80 "A2" 70
"597" "Environmental Toxicology and Pharmacology" "B1" 79 "A2" 70
"598" "Epidemiology and Infection" "B1" 59 "A4" 70
"599" "Euphytica" "B1" 78 "A2" 70
"600" "European Journal of Clinical Microbiology and Infectious Diseases" "B1" 70 "A3" 70
"601" "European Journal of Entomology" "B1" 59 "A4" 70
"602" "European Journal of Neuroscience" "B1" 53 "A4" 70
"603" "European Journal of Oral Sciences" "B1" 82 "A2" 70
"604" "European Journal of Plant Pathology" "B1" 80 "A2" 70
"605" "European Journal of Soil Biology" "B1" 93 "A1" 70
"606" "European Journal of Soil Science" "B1" 77 "A2" 70
"607" "Evidence-based Complementary and Alternative Medicine" "B1" 78 "A2" 70
"608" "EvoDevo" "B1" 79 "A2" 70
"609" "Evolution and Development" "B1" 68 "A3" 70
"610" "Evolutionary Anthropology" "B1" 94 "A1" 70
"611" "Evolutionary Ecology" "B1" 76 "A2" 70
"612" "Experimental Biology and Medicine" "B1" 72 "A3" 70
"613" "Experimental Cell Research" "B1" 54 "A4" 70
"614" "Experimental Dermatology" "B1" 83 "A2" 70
"615" "Extremophiles" "B1" 43 "B1" 70
"616" "Facies" "B1" 73 "A3" 70
"617" "Fish Physiology and Biochemistry" "B1" 63 "A3" 70
"618" "Fisheries Management and Ecology" "B1" 68 "A3" 70
"619" "Fisheries Science" "B1" 39 "B1" 70
"620" "Fishery Bulletin" "B1" 43 "B1" 70
"621" "Fitoterapia" "B1" 73 "A3" 70
"622" "Flavour and Fragrance Journal" "B1" 62 "A4" 70
"623" "Flora: Morphology, Distribution, Functional Ecology of Plants" "B1" 62 "A4" 70
"624" "Florida Entomologist" "B1" 45 "B1" 70
"625" "Folia Geobotanica" "B1" 55 "A4" 70
"626" "Food and Bioprocess Technology" "B1" 90 "A1" 70
"627" "Food Control" "B1" 94 "A1" 70
"628" "Forensic Science International" "B1" 74 "A3" 70
"629" "Forensic Science International: Genetics" "B1" 93 "A1" 70
"630" "Forest Policy and Economics" "B1" 92 "A1" 70
"631" "Forest Science" "B1" 65 "A3" 70
"632" "Forestry" "B1" 89 "A1" 70
"633" "Free Radical Research" "B1" 64 "A3" 70
"634" "Frontiers in Microbiology" "B1" 89 "A1" 70
"635" "Frontiers in Psychology" "B1" 76 "A2" 70
"636" "Fundamental and Applied Limnology" "B1" 49 "B1" 70
"637" "Fungal Biology" "B1" 85 "A2" 70
"638" "Future Microbiology" "B1" 61 "A4" 70
"639" "Genes, Brain and Behavior" "B1" 86 "A2" 70
"640" "Genetic Resources and Crop Evolution" "B1" 66 "A3" 70
"641" "Geo-Marine Letters" "B1" 69 "A3" 70
"642" "Geobiology" "B1" 92 "A1" 70
"643" "Geochimica et Cosmochimica Acta" "B1" 93 "A1" 70
"644" "Geology" "B1" 96 "A1" 70
"645" "Geomorphology" "B1" 93 "A1" 70
"646" "Gondwana Research" "B1" 99 "A1" 70
"647" "Grass and Forage Science" "B1" 72 "A3" 70
"648" "Herpetologica" "B1" 69 "A3" 70
"649" "Holocene" "B1" 97 "A1" 70
"650" "Human Ecology" "B1" 86 "A2" 70
"651" "Hydrological Sciences Journal" "B1" 75 "A3" 70
"652" "Ichthyological Research" "B1" 39 "B1" 70
"653" "IEEE Geoscience and Remote Sensing Letters" "B1" 95 "A1" 70
"654" "Immunologic Research" "B1" 42 "B1" 70
"655" "In Vitro Cellular and Developmental Biology - Plant" "B1" 67 "A3" 70
"656" "Industrial Crops and Products" "B1" 97 "A1" 70
"657" "Infection and Immunity" "B1" 79 "A2" 70
"658" "Infection, Genetics and Evolution" "B1" 82 "A2" 70
"659" "Information Sciences" "B1" 97 "A1" 70
"660" "Inland Waters" "B1" 63 "A3" 70
"661" "Innovative Food Science and Emerging Technologies" "B1" 93 "A1" 70
"662" "Insectes Sociaux" "B1" 64 "A3" 70
"663" "International Biodeterioration and Biodegradation" "B1" 83 "A2" 70
"664" "International Journal of Adhesion and Adhesives" "B1" 84 "A2" 70
"665" "International Journal of Applied Earth Observation and Geoinformation" "B1" 99 "A1" 70
"666" "International Journal of Biochemistry and Cell Biology" "B1" 70 "A3" 70
"667" "International Journal of Biological Macromolecules" "B1" 95 "A1" 70
"668" "International Journal of Cancer" "B1" 94 "A1" 70
"669" "International Journal of Cardiology" "B1" 68 "A3" 70
"670" "International Journal of Coal Geology" "B1" 98 "A1" 70
"671" "International Journal of Environmental Research and Public Health" "B1" 84 "A2" 70
"672" "International Journal of Experimental Pathology" "B1" 59 "A4" 70
"673" "International Journal of Food Microbiology" "B1" 92 "A1" 70
"674" "International Journal of Food Science and Technology" "B1" 78 "A2" 70
"675" "International Journal of Greenhouse Gas Control" "B1" 89 "A1" 70
"676" "International Journal of Health Geographics" "B1" 90 "A1" 70
"677" "International Journal of Legal Medicine" "B1" 73 "A3" 70
"678" "International Journal of Mass Spectrometry" "B1" 58 "A4" 70
"679" "International Journal of Molecular Sciences" "B1" 92 "A1" 70
"680" "International Journal of Nanomedicine" "B1" 94 "A1" 70
"681" "International Journal of Pharmaceutics" "B1" 91 "A1" 70
"682" "International Journal of Plant Sciences" "B1" 65 "A3" 70
"683" "International Journal of Remote Sensing" "B1" 85 "A2" 70
"684" "International Journal of Wildland Fire" "B1" 90 "A1" 70
"685" "International Review of Hydrobiology" "B1" 74 "A3" 70
"686" "Invertebrate Biology" "B1" 73 "A3" 70
"687" "ISPRS Journal of Photogrammetry and Remote Sensing" "B1" 97 "A1" 70
"688" "Journal of Agricultural Science" "B1" 73 "A3" 70
"689" "Journal of Applied Ichthyology" "B1" 38 "B1" 70
"690" "Journal of Applied Physiology" "B1" 66 "A3" 70
"691" "Journal of Applied Toxicology" "B1" 74 "A3" 70
"692" "Journal of Archaeological Science" "B1" 99 "A1" 70
"693" "Journal of Asian Earth Sciences" "B1" 88 "A1" 70
"694" "Journal of Biomedical Materials Research - Part B Applied Biomaterials" "B1" 66 "A3" 70
"695" "Journal of Biomedical Optics" "B1" 73 "A3" 70
"696" "Journal of Biosciences" "B1" 76 "A2" 70
"697" "Journal of Biotechnology" "B1" 74 "A3" 70
"698" "Journal of Cellular Biochemistry" "B1" 66 "A3" 70
"699" "Journal of Chemical Physics" "B1" 83 "A2" 70
"700" "Journal of Chemical Technology and Biotechnology" "B1" 79 "A2" 70
"701" "Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences" "B1" 70 "A3" 70
"702" "Journal of Computer and System Sciences" "B1" 78 "A2" 70
"703" "Journal of Crustacean Biology" "B1" 42 "B1" 70
"704" "Journal of Electroanalytical Chemistry" "B1" 82 "A2" 70
"705" "Journal of Environmental Planning and Management" "B1" 82 "A2" 70
"706" "Journal of Environmental Quality" "B1" 82 "A2" 70
"707" "Journal of Environmental Radioactivity" "B1" 71 "A3" 70
"708" "Journal of Environmental Sciences" "B1" 85 "A2" 70
"709" "Journal of Ethnobiology and Ethnomedicine" "B1" 99 "A1" 70
"710" "Journal of Eukaryotic Microbiology" "B1" 46 "B1" 70
"711" "Journal of Experimental Zoology Part A: Ecological Genetics and Physiology" "B1" 67 "A3" 70
"712" "Journal of Fish Biology" "B1" 68 "A3" 70
"713" "Journal of Food Composition and Analysis" "B1" 85 "A2" 70
"714" "Journal of Herpetology" "B1" 57 "A4" 70
"715" "Journal of Hospital Infection" "B1" 64 "A3" 70
"716" "Journal of Human Genetics" "B1" 66 "A3" 70
"717" "Journal of Human Nutrition and Dietetics" "B1" 75 "A3" 70
"718" "Journal of Hypertension" "B1" 82 "A2" 70
"719" "Journal of Industrial Microbiology and Biotechnology" "B1" 73 "A3" 70
"720" "Journal of Informetrics" "B1" 92 "A1" 70
"721" "Journal of Insect Conservation" "B1" 77 "A2" 70
"722" "Journal of Leukocyte Biology" "B1" 74 "A3" 70
"723" "Journal of Limnology" "B1" 62 "A4" 70
"724" "Journal of Marine Systems" "B1" 85 "A2" 70
"725" "Journal of Minimally Invasive Gynecology" "B1" 59 "A4" 70
"726" "Journal of Molluscan Studies" "B1" 69 "A3" 70
"727" "Journal of Morphology" "B1" 76 "A2" 70
"728" "Journal of Paleontology" "B1" 65 "A3" 70
"729" "Journal of Pharmaceutical and Biomedical Analysis" "B1" 80 "A2" 70
"730" "Journal of Pharmaceutical Sciences" "B1" 83 "A2" 70
"731" "Journal of Pharmacy and Pharmacology" "B1" 70 "A3" 70
"732" "Journal of Photochemistry and Photobiology A: Chemistry" "B1" 86 "A2" 70
"733" "Journal of Photochemistry and Photobiology B: Biology" "B1" 96 "A1" 70
"734" "Journal of Physical Chemistry A" "B1" 69 "A3" 70
"735" "Journal of Phytopathology" "B1" 59 "A4" 70
"736" "Journal of Plant Biochemistry and Biotechnology" "B1" 57 "A4" 70
"737" "Journal of Plant Ecology" "B1" 75 "A3" 70
"738" "Journal of Plant Nutrition" "B1" 46 "B1" 70
"739" "Journal of Plant Research" "B1" 75 "A3" 70
"740" "Journal of Proteomics" "B1" 87 "A2" 70
"741" "Journal of Psychopharmacology" "B1" 94 "A1" 70
"742" "Journal of Quaternary Science" "B1" 93 "A1" 70
"743" "Journal of Raman Spectroscopy" "B1" 73 "A3" 70
"744" "Journal of Separation Science" "B1" 62 "A4" 70
"745" "Journal of Shellfish Research" "B1" 42 "B1" 70
"746" "Journal of Soils and Sediments" "B1" 84 "A2" 70
"747" "Journal of South American Earth Sciences" "B1" 73 "A3" 70
"748" "Journal of Statistical Physics" "B1" 68 "A3" 70
"749" "Journal of Stored Products Research" "B1" 87 "A2" 70
"750" "Journal of Supercritical Fluids" "B1" 88 "A1" 70
"751" "Journal of Systematic Palaeontology" "B1" 84 "A2" 70
"752" "Journal of the Acoustical Society of America" "B1" 73 "A3" 70
"753" "Journal of the American Mosquito Control Association" "B1" 44 "B1" 70
"754" "Journal of the Marine Biological Association of the United Kingdom" "B1" 51 "A4" 70
"755" "Journal of the World Aquaculture Society" "B1" 65 "A3" 70
"756" "Journal of Theoretical Biology" "B1" 82 "A2" 70
"757" "Journal of Toxicology and Environmental Health - Part A: Current Issues" "B1" 64 "A3" 70
"758" "Journal of Transport Geography" "B1" 96 "A1" 70
"759" "Journal of Tropical Ecology" "B1" 51 "A4" 70
"760" "Journal of Vector Ecology" "B1" 58 "A4" 70
"761" "Journal of Vertebrate Paleontology" "B1" 79 "A2" 70
"762" "Journal of Visual Communication and Image Representation" "B1" 93 "A1" 70
"763" "Journal of Wildlife Diseases" "B1" 55 "A4" 70
"764" "Land Degradation and Development" "B1" 98 "A1" 70
"765" "Land Use Policy" "B1" 96 "A1" 70
"766" "Langmuir" "B1" 87 "A2" 70
"767" "Lasers in Medical Science" "B1" 87 "A2" 70
"768" "Lethaia" "B1" 78 "A2" 70
"769" "Life Sciences" "B1" 96 "A1" 70
"770" "Limnology and Oceanography: Methods" "B1" 78 "A2" 70
"771" "LWT - Food Science and Technology" "B1" 91 "A1" 70
"772" "Malacologia" "B1" 88 "A1" 70
"773" "Malaria Journal" "B1" 77 "A2" 70
"774" "Marine and Freshwater Research" "B1" 66 "A3" 70
"775" "Marine and Petroleum Geology" "B1" 96 "A1" 70
"776" "Marine Biodiversity" "B1" 58 "A4" 70
"777" "Marine Biology Research" "B1" 52 "A4" 70
"778" "Marine Drugs" "B1" 90 "A1" 70
"779" "Marine Ecology" "B1" 65 "A3" 70
"780" "Marine Micropaleontology" "B1" 86 "A2" 70
"781" "Marine Policy" "B1" 96 "A1" 70
"782" "Mastozoologia Neotropical" "B1" 38 "B1" 70
"783" "Materials Characterization" "B1" 89 "A1" 70
"784" "Materials Science and Engineering C" "B1" 95 "A1" 70
"785" "Maturitas" "B1" 95 "A1" 70
"786" "Media, Culture and Society" "B1" 85 "A2" 70
"787" "Mediators of Inflammation" "B1" 67 "A3" 70
"788" "Medical Mycology" "B1" 73 "A3" 70
"789" "Memorias do Instituto Oswaldo Cruz" "B1" 68 "A3" 70
"790" "Microbiological Research" "B1" 77 "A2" 70
"791" "Microchemical Journal" "B1" 77 "A2" 70
"792" "Micron" "B1" 58 "A4" 70
"793" "Microscopy and Microanalysis" "B1" 34 "B2" 70
"794" "Mikrochimica Acta" "B1" 89 "A1" 70
"795" "Mitigation and Adaptation Strategies for Global Change" "B1" 87 "A2" 70
"796" "Mitochondrion" "B1" 70 "A3" 70
"797" "Molecular Neurobiology" "B1" 93 "A1" 70
"798" "Molecules" "B1" 82 "A2" 70
"799" "Mycopathologia" "B1" 83 "A2" 70
"800" "Mycoses" "B1" 94 "A1" 70
"801" "Nanomedicine" "B1" 83 "A2" 70
"802" "Natural Hazards" "B1" 79 "A2" 70
"803" "Natural Hazards and Earth System Sciences" "B1" 88 "A1" 70
"804" "Nature Climate Change" "B1" 99 "A1" 70
"805" "Naunyn-Schmiedeberg's Archives of Pharmacology" "B1" 50 "B1" 70
"806" "Nematology" "B1" 61 "A4" 70
"807" "Neurochemistry International" "B1" 73 "A3" 70
"808" "Neurogastroenterology and Motility" "B1" 90 "A1" 70
"809" "Neurotoxicity Research" "B1" 73 "A3" 70
"810" "Nitric Oxide - Biology and Chemistry" "B1" 83 "A2" 70
"811" "Nuclear Medicine and Biology" "B1" 74 "A3" 70
"812" "Nutrition" "B1" 81 "A2" 70
"813" "Ocean and Coastal Management" "B1" 90 "A1" 70
"814" "Ocean Dynamics" "B1" 63 "A3" 70
"815" "Oncotarget" "B1" 80 "A2" 70
"816" "Oral Diseases" "B1" 88 "A1" 70
"817" "Organic Process Research and Development" "B1" 78 "A2" 70
"818" "Pacific Science" "B1" 75 "A3" 70
"819" "Palaeontology" "B1" 96 "A1" 70
"820" "Palaios" "B1" 76 "A2" 70
"821" "Parasites and Vectors" "B1" 84 "A2" 70
"822" "Parasitology International" "B1" 52 "A4" 70
"823" "Parasitology Research" "B1" 95 "A1" 70
"824" "Pattern Recognition Letters" "B1" 80 "A2" 70
"825" "Pedobiologia" "B1" 70 "A3" 70
"826" "Peptides" "B1" 58 "A4" 70
"827" "Personality and Individual Differences" "B1" 79 "A2" 70
"828" "Pharmaceutical Biology" "B1" 87 "A2" 70
"829" "Pharmacoepidemiology and Drug Safety" "B1" 67 "A3" 70
"830" "Pharmacogenomics Journal" "B1" 77 "A2" 70
"831" "Pharmacology Biochemistry and Behavior" "B1" 71 "A3" 70
"832" "Photomedicine and Laser Surgery" "B1" 65 "A3" 70
"833" "Photosynthetica" "B1" 79 "A2" 70
"834" "Phycologia" "B1" 71 "A3" 70
"835" "Physica D: Nonlinear Phenomena" "B1" 78 "A2" 70
"836" "Physiology and Behavior" "B1" 76 "A2" 70
"837" "Phytochemistry Letters" "B1" 69 "A3" 70
"838" "Phytocoenologia" "B1" 61 "A4" 70
"839" "Phytotherapy Research" "B1" 80 "A2" 70
"840" "Plant Biosystems" "B1" 67 "A3" 70
"841" "Plant Breeding" "B1" 67 "A3" 70
"842" "Plant Ecology" "B1" 74 "A3" 70
"843" "Plant Signaling and Behavior" "B1" 66 "A3" 70
"844" "Plant Systematics and Evolution" "B1" 69 "A3" 70
"845" "Platelets" "B1" 65 "A3" 70
"846" "PLoS Neglected Tropical Diseases" "B1" 95 "A1" 70
"847" "Polar Research" "B1" 58 "A4" 70
"848" "Polyhedron" "B1" 70 "A3" 70
"849" "Population Ecology" "B1" 66 "A3" 70
"850" "Precision Agriculture" "B1" 92 "A1" 70
"851" "Preventive Veterinary Medicine" "B1" 98 "A1" 70
"852" "Primates" "B1" 65 "A3" 70
"853" "Process Biochemistry" "B1" 71 "A3" 70
"854" "Prostate" "B1" 96 "A1" 70
"855" "Protist" "B1" 56 "A4" 70
"856" "Pulmonary Pharmacology and Therapeutics" "B1" 76 "A2" 70
"857" "Quarterly Review of Biology" "B1" 93 "A1" 70
"858" "Quaternary Geochronology" "B1" 93 "A1" 70
"859" "Quaternary International" "B1" 75 "A3" 70
"860" "Quaternary Research" "B1" 81 "A2" 70
"861" "Radiation Measurements" "B1" 59 "A4" 70
"862" "Radiocarbon" "B1" 91 "A1" 70
"863" "Rangeland Ecology and Management" "B1" 85 "A2" 70
"864" "Reproduction" "B1" 96 "A1" 70
"865" "Reproductive Sciences" "B1" 77 "A2" 70
"866" "Reproductive Toxicology" "B1" 66 "A3" 70
"867" "Research in Veterinary Science" "B1" 88 "A1" 70
"868" "Restoration Ecology" "B1" 86 "A2" 70
"869" "Retrovirology" "B1" 82 "A2" 70
"870" "River Research and Applications" "B1" 77 "A2" 70
"871" "RSC Advances" "B1" 81 "A2" 70
"872" "Salamandra" "B1" 52 "A4" 70
"873" "Scandinavian Journal of Medicine and Science in Sports" "B1" 95 "A1" 70
"874" "Scientia Horticulturae" "B1" 92 "A1" 70
"875" "Scientia Marina" "B1" 48 "B1" 70
"876" "Scientific Reports" "B1" 93 "A1" 70
"877" "Scientometrics" "B1" 94 "A1" 70
"878" "Sedimentary Geology" "B1" 86 "A2" 70
"879" "Sedimentology" "B1" 91 "A1" 70
"880" "Seed Science Research" "B1" 72 "A3" 70
"881" "Sensors" "B1" 93 "A1" 70
"882" "Small Ruminant Research" "B1" 72 "A3" 70
"883" "Society and Natural Resources" "B1" 85 "A2" 70
"884" "Soil Research" "B1" 68 "A3" 70
"885" "Soil Use and Management" "B1" 76 "A2" 70
"886" "South African Journal of Science" "B1" 64 "A3" 70
"887" "Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy" "B1" 84 "A2" 70
"888" "Starch/Staerke" "B1" 71 "A3" 70
"889" "Surgery for Obesity and Related Diseases" "B1" 90 "A1" 70
"890" "Synthetic Metals" "B1" 84 "A2" 70
"891" "Systematic and Applied Acarology" "B1" 68 "A3" 70
"892" "Systematic Botany" "B1" 63 "A3" 70
"893" "Tellus, Series B: Chemical and Physical Meteorology" "B1" 48 "B1" 70
"894" "Tetrahedron Letters" "B1" 60 "A4" 70
"895" "The Botanical Review" "B1" 87 "A2" 70
"896" "The Lancet Infectious Diseases" "B1" 97 "A1" 70
"897" "Theoretical and Applied Climatology" "B1" 70 "A3" 70
"898" "Theoretical Ecology" "B1" 67 "A3" 70
"899" "Toxicology and Applied Pharmacology" "B1" 91 "A1" 70
"900" "Toxicology in Vitro" "B1" 79 "A2" 70
"901" "Transactions of the American Fisheries Society" "B1" 57 "A4" 70
"902" "Transactions of the Royal Society of Tropical Medicine and Hygiene" "B1" 70 "A3" 70
"903" "Trees - Structure and Function" "B1" 80 "A2" 70
"904" "Tuberculosis" "B1" 74 "A3" 70
"905" "Ultrasonics Sonochemistry" "B1" 99 "A1" 70
"906" "Urban Forestry and Urban Greening" "B1" 93 "A1" 70
"907" "Vaccine" "B1" 98 "A1" 70
"908" "Value in Health" "B1" 94 "A1" 70
"909" "Veterinary Microbiology" "B1" 97 "A1" 70
"910" "Veterinary Parasitology" "B1" 95 "A1" 70
"911" "Weed Research" "B1" 78 "A2" 70
"912" "Wetlands" "B1" 75 "A3" 70
"913" "Wildlife Research" "B1" 64 "A3" 70
"914" "Wood Science and Technology" "B1" 82 "A2" 70
"915" "World Development" "B1" 98 "A1" 70
"916" "World Journal of Gastroenterology" "B1" 85 "A2" 70
"917" "Zoological Science" "B1" 50 "B1" 70
"918" "Zoomorphology" "B1" 62 "A4" 70
"919" "Zootaxa" "B1" 50 "B1" 70
"920" "Acarina" "B2" 47 "B1" 55
"921" "ACS Chemical Neuroscience" "B2" 79 "A2" 55
"922" "Acta Amazonica" "B2" 66 "A3" 55
"923" "Acta Botanica Brasilica" "B2" 55 "A4" 55
"924" "Acta Geotechnica" "B2" 92 "A1" 55
"925" "Acta Ichthyologica et Piscatoria" "B2" 35 "B2" 55
"926" "Acta Parasitologica" "B2" 17 "B3" 55
"927" "Acta Protozoologica" "B2" 53 "A4" 55
"928" "Acta Zoologica" "B2" 59 "A4" 55
"929" "Aeronautical Journal" "B2" 54 "A4" 55
"930" "African Entomology" "B2" 34 "B2" 55
"931" "African Invertebrates" "B2" 25 "B3" 55
"932" "African Journal of Ecology" "B2" 37 "B2" 55
"933" "Agroforestry Systems" "B2" 80 "A2" 55
"934" "AIDS Research and Human Retroviruses" "B2" 45 "B1" 55
"935" "Alcheringa" "B2" 47 "B1" 55
"936" "Allelopathy Journal" "B2" 41 "B1" 55
"937" "Ameghiniana" "B2" 54 "A4" 55
"938" "American Fern Journal" "B2" 54 "A4" 55
"939" "American Journal of Medical Genetics, Part A" "B2" 39 "B1" 55
"940" "American Journal of Potato Research" "B2" 63 "A3" 55
