"titulo" "P.ISSN" "E.ISSN" "qIF"
"1246" "Mens en Maatschappij" "00259454" "" 12
"1247" "Mercian Geologist" "0025990X" "" 21
"1248" "Meta" "00260452" "" 64
"1249" "Metabolism: Clinical and Experimental" "00260495" "" 94
"1250" "Metall" "00260746" "" 8
"1251" "Metallurgia Italiana" "00260843" "" 28
"1252" "Journal of the Meteorological Society of Japan" "00261165" "" 94
"1253" "Methods of Information in Medicine" "00261270" "" 75
"1254" "Metrologia" "00261394" "" 86
"1255" "Metron" "00261424" "" 20
"1256" "Metropolitan Museum of Art Bulletin" "00261521" "" 44
"1257" "Michigan Law Review" "00262234" "" 73
"1258" "Michigan Mathematical Journal" "00262285" "" 60
"1259" "Microbiology" "00262617" "" 29
"1260" "Microchemical Journal" "0026265X" "" 77
"1261" "Microelectronics Reliability" "00262714" "" 64
"1262" "Micropaleontology" "00262803" "" 40
"1263" "The Middle East Journal" "00263141" "" 51
"1264" "Middle Eastern Studies" "00263206" "" 78
"1265" "The Midwest Quarterly" "00263451" "" 33
"1266" "Mikologiya I Fitopatologiya" "00263648" "" 17
"1267" "Militargeschichtliche Zeitschrift" "00263826" "" 12
"1268" "Military Engineer" "00263982" "" 1
"1269" "Military Law Review" "00264040" "" 29
"1270" "Military Medicine" "00264075" "" 29
"1271" "Bulletin of the Mineral Research and Exploration" "00264563" "" 24
"1272" "Mineralogical Magazine" "0026461X" "" 47
"1273" "Minerva Cardioangiologica" "00264725" "" 28
"1274" "Minerva Chirurgica" "00264733" "" 30
"1275" "Minerva Ginecologica" "00264784" "" 40
"1276" "Minerva Medica" "00264806" "" 86
"1277" "Minerva Pneumologica" "00264954" "" 16
"1278" "Minerva Stomatologica" "00264970" "" 52
"1279" "Mining Engineering" "00265187" "" 12
"1280" "Minnesota Law Review" "00265535" "" 72
"1281" "Minnesota Review" "00265667" "" 77
"1282" "Annals of the Missouri Botanical Garden" "00266493" "" 89
"1283" "Modern Drama" "00267694" "" 64
"1284" "MFS - Modern Fiction Studies" "00267724" "" 91
"1285" "Modern Language Journal" "00267902" "" 98
"1286" "Modern Language Quarterly" "00267929" "" 96
"1287" "Modern Language Review" "00267937" "" 77
"1288" "Moderna Sprak" "00268577" "" 45
"1289" "Molekulyarnaya Biologiya" "00268984" "" 45
"1290" "Monatsschrift fur Kriminologie und Strafrechtsreform" "00269301" "" 50
"1291" "The Monist" "00269662" "" 89
"1292" "Montana : the magazine of western history" "00269891" "" 18
"1293" "Monthly Review" "00270520" "" 53
"1294" "Moscow University Chemistry Bulletin" "00271314" "" 24
"1295" "Moscow University Mechanics Bulletin" "00271330" "" 12
"1296" "Moscow University Physics Bulletin (English Translation of Vestnik Moskovskogo Universiteta, Fizika)" "00271349" "" 34
"1297" "Motor Ship" "00272000" "" 4
"1298" "Mouvement Social" "00272671" "" 45
"1299" "Moyen Age" "00272841" "" 21
"1300" "Museum Helveticum" "00274054" "" 51
"1301" "Museum News" "00274089" "" 6
"1302" "Musik und Kirche" "00274771" "" 6
"1303" "Musikforschung" "00274801" "" 6
"1304" "Muttersprache" "0027514X" "" 15
"1305" "Mycologia" "00275514" "" 83
"1306" "Nagoya Mathematical Journal" "00277630" "" 59
"1307" "Names" "00277738" "" 49
"1308" "Nation" "00278378" "" 9
"1309" "Journal of the National Cancer Institute" "00278874" "" 90
"1310" "American Bankruptcy Law Journal" "00279048" "" 37
"1311" "Journal of the National Medical Association" "00279684" "" 55
"1312" "National Tax Journal" "00280283" "" 61
"1313" "Natur und Landschaft" "00280615" "" 9
"1314" "Natural Resources Journal" "00280739" "" 39
"1315" "Naunyn-Schmiedeberg's Archives of Pharmacology" "00281298" "" 50
"1316" "Nautilus" "00281344" "" 24
"1317" "Navigation, Journal of the Institute of Navigation" "00281522" "" 78
"1318" "Nederlands Tijdschrift voor Geneeskunde" "00282162" "" 22
"1319" "Neftyanoe khozyaystvo - Oil Industry" "00282448" "" 26
"1320" "Neophilologus" "00282677" "" 67
"1321" "Neoplasma" "00282685" "" 22
"1322" "Journal of the Nepal Medical Association" "00282715" "" 31
"1323" "Neue Rundschau" "00283347" "" 8
"1324" "Neuphilologische Mitteilungen" "00283754" "" 3
"1325" "Neurochirurgie" "00283770" "" 43
"1326" "Neurologia i Neurochirurgia Polska" "00283843" "" 45
"1327" "Neurologia-Neurocirugia Psiquiatria" "00283851" "" 1
"1328" "Neurology" "00283878" "" 85
"1329" "Neuropharmacology" "00283908" "" 90
"1330" "Neuropsychologia" "00283932" "" 83
"1331" "New England Quarterly-A Historical Review of New England Life and Letters" "00284866" "" 54
"1332" "Journal of the New England Water Works Association" "00284939" "" 6
"1333" "New Left Review" "00286060" "" 87
"1334" "New Mexico Historical Review" "00286206" "" 38
"1335" "New Orleans Review" "00286400" "" 27
"1336" "New York University Law Review" "00287881" "" 73
"1337" "New Zealand Geographer" "00288144" "" 37
"1338" "New Zealand Journal of Agricultural Research" "00288233" "" 58
"1339" "New Zealand Journal of Botany" "0028825X" "" 44
"1340" "New Zealand Journal of Educational Studies" "00288276" "" 49
"1341" "New Zealand Journal of Geology, and Geophysics" "00288306" "" 60
"1342" "New Zealand Journal of History" "00288322" "" 71
"1343" "New Zealand Journal of Marine and Freshwater Research" "00288330" "" 54
"1344" "New Zealand Medical Journal" "00288446" "" 60
"1345" "NWIG New West Indian Guide" "00289930" "" 5
"1346" "Nishinihon Journal of Urology" "00290726" "" 4
"1347" "No To Hattatsu" "00290831" "" 10
"1348" "Hydrology Research" "00291277" "" 73
"1349" "North American Review" "00292397" "" 7
"1350" "North Carolina Medical Journal" "00292559" "" 54
"1351" "Northern Logger and Timber Processor" "00293156" "" 2
"1352" "Northwest Science" "0029344X" "" 28
"1353" "Northwestern University Law Review" "00293571" "" 53
"1354" "Norwegian Archaeological Review" "00293652" "" 77
"1355" "Notornis" "00294470" "" 13
"1356" "Religion and Literature" "00294500" "" 7
"1357" "Notre Dame Journal of Formal Logic" "00294527" "" 29
"1358" "Nottingham French Studies" "00294586" "" 37
"1359" "Nouvelle Revue Francaise" "00294802" "" 7
"1360" "Novel: A Forum on Fiction" "00295132" "" 89
"1361" "Nowotwory" "0029540X" "" 7
"1362" "Nuclear Technology" "00295450" "" 54
"1363" "Nuclear Engineering and Design" "00295493" "" 72
"1364" "Nuclear Engineering International" "00295507" "" 6
"1365" "Nuclear Fusion" "00295515" "" 87
"1366" "Nuklearmedizin" "00295566" "" 32
"1367" "Nuclear Science and Engineering" "00295639" "" 63
"1368" "Nuova Rivista Storica" "00296236" "" 15
"1369" "Nursing Clinics of North America" "00296465" "" 53
"1370" "Nursing Forum" "00296473" "" 65
"1371" "Nursing standard (Royal College of Nursing (Great Britain) : 1987)" "00296570" "" 19
"1372" "Nutrition Reviews" "00296643" "" 96
"1373" "The OECD observer. Organisation for Economic Co-operation and Development" "00297054" "" 3
"1374" "Observatory" "00297704" "" 5
"1375" "Obstetrical and Gynecological Survey" "00297828" "" 28
"1376" "Obstetrics and Gynecology" "00297844" "" 94
"1377" "Ocean Engineering" "00298018" "" 95
"1378" "Oceania" "00298077" "" 60
"1379" "Oceanic Linguistics" "00298115" "" 58
"1380" "Oceanus" "00298182" "" 5
"1381" "Oeil" "0029862X" "" 8
"1382" "Osterreichische Zeitschrift fur Volkskunde" "00299669" "" 4
"1383" "Offshore" "00300608" "" 4
"1384" "Oftalmologicheskii Zhurnal" "00300675" "" 9
"1385" "Ohio Journal of Sciences" "00300950" "" 30
"1386" "Onderstepoort Journal of Veterinary Research" "00302465" "" 78
"1387" "Japan Journal of Logopedics and Phoniatrics" "00302813" "" 8
"1388" "Opera" "00303526" "" 8
"1389" "Optica Pura y Aplicada" "00303917" "" 12
"1390" "Optics and Laser Technology" "00303992" "" 82
"1391" "Optics Communications" "00304018" "" 68
"1392" "Optik" "00304026" "" 66
"1393" "Oregon Historical Quarterly" "00304727" "" 15
"1394" "Organic Preparations and Procedures International" "00304948" "" 40
"1395" "Orient" "00305227" "" 7
"1396" "Oriental Insects" "00305316" "" 14
"1397" "Orientalia Christiana Periodica" "00305375" "" 32
"1398" "Ornis Fennica" "00305685" "" 57
"1399" "Orthopedic Clinics of North America" "00305898" "" 67
"1400" "Orvosi Hetilap" "00306002" "" 50
"1401" "Osaka Journal of Mathematics" "00306126" "" 26
"1402" "Ostkirchliche Studien" "00306487" "" 5
"1403" "Ostrich" "00306525" "" 26
"1404" "Journal of Otolaryngology of Japan" "00306622" "" 9
"1405" "Otolaryngologic Clinics of North America" "00306665" "" 65
"1406" "Oud Holland" "0030672X" "" 37
"1407" "Outlook on Agriculture" "00307270" "" 54
"1408" "Overland" "00307416" "" 32
"1409" "PMLA" "00308129" "" 92
"1410" "PTB - Mitteilungen Forschen und Prufen" "0030834X" "" 6
"1411" "Pacific Affairs" "0030851X" "" 70
"1412" "Pacific Historical Review" "00308684" "" 30
"1413" "Pacific Journal of Mathematics" "00308730" "" 53
"1414" "Pacific Northwest Quarterly" "00308803" "" 5
"1415" "Paedagogica Historica" "00309230" "" 76
"1416" "Padiatrische Praxis" "00309346" "" 3
"1417" "Pakistan Development Review" "00309729" "" 3
"1418" "Pakistan Journal of Zoology" "00309923" "" 40
"1419" "JPMA. The Journal of the Pakistan Medical Association" "00309982" "" 56
"1420" "Palaeogeography, Palaeoclimatology, Palaeoecology" "00310182" "" 91
"1421" "Palaontologische Zeitschrift" "00310220" "" 51
"1422" "Paleontological Journal" "00310301" "" 34
"1423" "Pallas" "00310387" "" 31
"1424" "Pamietnik Literacki" "00310514" "" 21
"1425" "Pan-Pacific Entomologist" "00310603" "" 11
"1426" "Panminerva Medica" "00310808" "" 85
"1427" "O Papel (Brazil)" "00311057" "" 26
"1428" "Papers on Language and Literature" "00311294" "" 37
"1429" "Paris Review" "00312037" "" 7
"1430" "Past and Present" "00312746" "" 95
"1431" "Pastoral Psychology" "00312789" "" 92
"1432" "Patologicheskaya Fiziologiya i Eksperimentalnaya Terapiya" "00312991" "" 37
"1433" "Pathology" "00313025" "" 54
"1434" "Pattern Recognition" "00313203" "" 95
"1435" "Pediatria Polska" "00313939" "" 7
"1436" "Pediatric Clinics of North America" "00313955" "" 85
"1437" "Pediatrics" "00314005" "" 98
"1438" "Pediatriya - Zhurnal im G.N. Speranskogo" "0031403X" "" 12
"1439" "Pedobiologia" "00314056" "" 70
"1440" "Pennsylvania History" "00314528" "" 18
"1441" "Pennsylvania Magazine of History and Biography" "00314587" "" 21
"1442" "Pensamiento" "00314749" "" 41
"1443" "Pensee" "00314773" "" 7
"1444" "Periodica Mathematica Hungarica" "00315303" "" 55
"1445" "Periodicum Biologorum" "00315362" "" 41
"1446" "Personnel Psychology" "00315826" "" 98
"1447" "Persoonia: Molecular Phylogeny and Evolution of Fungi" "00315850" "" 97
"1448" "Perspectives in Psychiatric Care" "00315990" "" 68
"1449" "Perspectives of New Music" "00316016" "" 52
"1450" "Pharma Times" "00316849" "" 0
"1451" "Pharmaceutical Journal" "00316873" "" 7
"1452" "Yakugaku Zasshi" "00316903" "" 25
"1453" "Pharmaceutisch Weekblad" "00316911" "" 1
"1454" "Pharmazeutische Zeitung" "00317136" "" 1
"1455" "Die Pharmazie" "00317144" "" 47
"1456" "Phi Delta Kappan" "00317217" "" 19
"1457" "Philippine Agricultural Scientist" "00317454" "" 21
"1458" "Philippine Journal of Science" "00317683" "" 49
"1459" "Philippine Journal of Veterinary Medicine" "00317705" "" 18
"1460" "Philologus" "00317985" "" 60
"1461" "Philosophia Mathematica" "00318019" "" 81
"1462" "Philosophia Reformata" "00318035" "" 71
"1463" "The Philosophical Forum" "0031806X" "" 56
"1464" "The Philosophical Review" "00318108" "" 99
"1465" "Philosophical Studies" "00318116" "" 93
"1466" "Philosophy" "00318191" "" 68
"1467" "Philosophy East and West" "00318221" "" 57
"1468" "Philosophy Today" "00318256" "" 37
"1469" "Phoenix" "00318299" "" 81
"1470" "Photochemistry and Photobiology" "00318655" "" 61
"1471" "Photogrammetric Record" "0031868X" "" 55
"1472" "Phycologia" "00318884" "" 71
"1473" "Physica Scripta" "00318949" "" 73
"1474" "Journal of the Physical Society of Japan" "00319015" "" 54
"1475" "Physical Therapy" "00319023" "" 87
"1476" "Physics and Chemistry of Liquids" "00319104" "" 52
"1477" "Physics Education" "00319120" "" 30
"1478" "Physics in Medicine and Biology" "00319155" "" 87
"1479" "Physics of Metals and Metallography" "0031918X" "" 48
"1480" "Physics of the Earth and Planetary Interiors" "00319201" "" 75
"1481" "Physics Today" "00319228" "" 43
"1482" "Physiologist" "00319376" "" 3
"1483" "Physiology and Behavior" "00319384" "" 76
"1484" "Physiotherapy" "00319406" "" 85
"1485" "Phytochemistry" "00319422" "" 95
"1486" "Phytomorphology: An International Journal of Plant Morphology" "00319449" "" 10
"1487" "Phytopathology" "0031949X" "" 89
"1488" "Pipeline and Gas Journal" "00320188" "" 3
"1489" "Plains Anthropologist" "00320447" "" 47
"1490" "Planetary and Space Science" "00320633" "" 57
"1491" "Plant Engineering" "0032082X" "" 12
"1492" "Plant Engineer" "00320838" "" 4
"1493" "Plastic and Reconstructive Surgery" "00321052" "" 74
"1494" "Plastics Technology" "00321257" "" 4
"1495" "Poetique" "00322024" "" 41
"1496" "Poetry" "00322032" "" 7
"1497" "Poetry Review" "00322156" "" 7
"1498" "Poetry Wales" "00322202" "" 7
"1499" "Polimery" "00322725" "" 44
"1500" "Political Science" "00323187" "" 53
"1501" "Politicka Misao" "00323241" "" 69
"1502" "Politics and Society" "00323292" "" 95
"1503" "Politische Vierteljahresschrift" "00323470" "" 61
"1504" "Polymer" "00323861" "" 89
"1505" "Polymer Journal" "00323896" "" 76
"1506" "Journal of the Polynesian Society" "00324000" "" 77
"1507" "Population" "00324663" "" 51
"1508" "Portugaliae Mathematica" "00325155" "" 50
"1509" "Postepy biochemii" "00325422" "" 46
"1510" "Postgraduate Medicine" "00325481" "" 90
"1511" "Poultry Science" "00325791" "" 87
"1512" "Powder Metallurgy" "00325899" "" 67
"1513" "Powder Technology" "00325910" "" 87
"1514" "Power" "00325929" "" 6
"1515" "Power Engineering" "00325961" "" 5
"1516" "Practica Otologica" "00326313" "" 5
"1517" "Practitioner" "00326518" "" 31
"1518" "Praktische Metallographie/Practical Metallography" "0032678X" "" 22
"1519" "Praktische Tierarzt" "0032681X" "" 2
"1520" "Materiaux et Techniques" "00326895" "" 20
"1521" "Praxis der Kinderpsychologie und Kinderpsychiatrie" "00327034" "" 14
"1522" "Prensa Medica Argentina" "0032745X" "" 22
"1523" "Primates" "00328332" "" 65
"1524" "Printing Impressions" "0032860X" "" 10
"1525" "Prison Journal" "00328855" "" 78
"1526" "Journal of Ichthyology" "00329452" "" 31
"1527" "Professioni infermieristiche" "00330205" "" 39
"1528" "Prologue" "00331031" "" 21
"1529" "Prospects" "00331538" "" 25
"1530" "Protetyka stomatologiczna" "00331783" "" 3
"1531" "Przeglad Elektrotechniczny" "00332097" "" 19
"1532" "Przeglad Epidemiologiczny" "00332100" "" 63
"1533" "Przeglad Geofizyczny" "00332135" "" 4
"1534" "Przeglad Geograficzny" "00332143" "" 28
"1535" "Przeglad Geologiczny" "00332151" "" 15
"1536" "Przemysl Chemiczny" "00332496" "" 25
"1537" "Przeglad Dermatologiczny" "00332526" "" 18
"1538" "Psychoanalytic Quarterly" "00332828" "" 34
"1539" "Psychoanalytic Review" "00332836" "" 19
"1540" "Psychologia" "00332852" "" 13
"1541" "Psychological Bulletin" "00332909" "" 99
"1542" "Psychological Record" "00332933" "" 64
"1543" "Psychological Review" "0033295X" "" 97
"1544" "Psychological Studies" "00332968" "" 20
"1545" "Psychologie Francaise" "00332984" "" 25
"1546" "Psychologische Rundschau" "00333042" "" 17
"1547" "Psychology and Education" "00333077" "" 7
"1548" "Psychometrika" "00333123" "" 89
"1549" "Psychopharmacology" "00333158" "" 79
"1550" "Psychotherapy" "00333204" "" 81
"1551" "Public Health Reports" "00333549" "" 60
"1552" "Public Roads" "00333735" "" 3
"1553" "Publicationes Mathematicae" "00333883" "" 59
"1554" "Pure and Applied Chemistry" "00334545" "" 90
"1555" "Quality Progress" "0033524X" "" 19
"1556" "Quarterly Journal of Mechanics and Applied Mathematics" "00335614" "" 43
"1557" "Quarterly Journal of Speech" "00335630" "" 83
"1558" "Quarterly of Applied Mathematics" "0033569X" "" 48
"1559" "Queen's Quarterly" "00336041" "" 6
"1560" "Quintessence International" "00336572" "" 60
"1561" "Radiation Research" "00337587" "" 80
"1562" "Radiocarbon" "00338222" "" 91
"1563" "Radiochimica Acta" "00338230" "" 32
"1564" "Radiologic Clinics of North America" "00338389" "" 58
"1565" "Radiologic Technology" "00338397" "" 12
"1566" "Radioprotection" "00338451" "" 38
"1567" "Quarterly Report of RTRI (Railway Technical Research Institute) (Japan)" "00339008" "" 19
"1568" "Rassegna della Letteratura Italiana" "00339423" "" 7
"1569" "Rassegna Storica del Risorgimento" "00339873" "" 5
"1570" "Reading Research Quarterly" "00340553" "" 93
"1571" "Reading Teacher" "00340561" "" 77
"1572" "Recenti Progressi in Medicina" "00341193" "" 37
"1573" "Recherches de Science Religieuse" "00341258" "" 5
"1574" "Red Cedar Review" "00341967" "" 7
"1575" "Reflets et Perspectives de la Vie Economique" "00342971" "" 3
"1576" "Rehabilitation Counseling Bulletin" "00343552" "" 47
"1577" "Reinforced Plastics" "00343617" "" 15
"1578" "Remote Sensing of Environment" "00344257" "" 99
"1579" "Renaissance and Reformation" "0034429X" "" 18
"1580" "Renaissance Quarterly" "00344338" "" 95
"1581" "Renascence" "00344346" "" 21
"1582" "Reports on Mathematical Physics" "00344877" "" 34
"1583" "Research in Education" "00345237" "" 48
"1584" "Research in the Teaching of English" "0034527X" "" 91
"1585" "Research in Veterinary Science" "00345288" "" 88
"1586" "Publications of the Research Institute for Mathematical Sciences" "00345318" "" 52
"1587" "Restaurator" "00345806" "" 58
"1588" "Reumatologia" "00346233" "" 19
"1589" "Review of Black Political Economy" "00346446" "" 72
"1590" "Review of Educational Research" "00346543" "" 99
"1591" "Nutrition and Food Science" "00346659" "" 36
"1592" "Review of Palaeobotany and Palynology" "00346667" "" 81
"1593" "Review of Politics" "00346705" "" 34
"1594" "Review of Religious Research" "0034673X" "" 97
"1595" "Review of Scientific Instruments" "00346748" "" 61
"1596" "Revija za Kriminalistiko in Kriminologijo" "0034690X" "" 25
"1597" "Revista Argentina de Cardiologia" "00347000" "" 5
"1598" "Revista Brasileira de Anestesiologia" "00347094" "" 50
"1599" "Revista Brasileira de Economia" "00347140" "" 21
"1600" "Revista brasileira de enfermagem" "00347167" "" 56
"1601" "Revista Brasileira de Oftalmologia" "00347280" "" 13
"1602" "Revista Brasileira de Politica Internacional" "00347329" "" 80
"1603" "Revista Chilena de Neuro-Psiquiatria" "00347388" "" 9
"1604" "Revista Colombiana de Obstetricia y Ginecologia" "00347434" "" 18
"1605" "Revista Colombiana de Psiquiatria" "00347450" "" 17
"1606" "RAE Revista de Administracao de Empresas" "00347590" "" 48
"1607" "Revista de Biologia Tropical" "00347744" "" 47
"1608" "Revista de Chimie" "00347752" "" 64
"1609" "Revista de Estudios Hispanicos" "0034818X" "" 60
"1610" "Revista de Indias" "00348341" "" 38
"1611" "Revista de Investigacion Clinica" "00348376" "" 81
"1612" "Revista de Literatura" "0034849X" "" 44
"1613" "Revista de Metalurgia" "00348570" "" 36
"1614" "Revista de Obras Publicas" "00348619" "" 3
"1615" "Revista de Occidente" "00348635" "" 18
"1616" "Revista de Saude Publica" "00348910" "" 67
"1617" "Revista Espanola de Anestesiologia y Reanimacion" "00349356" "" 33
"1618" "Revista Espanola de Pedagogia" "00349461" "" 42
"1619" "Revista Espanola de Pediatria" "0034947X" "" 1
"1620" "Revista Iberoamericana" "00349631" "" 37
"1621" "Revista Interamericana de psicologia/Interamerican Journal of Psychology" "00349690" "" 5
"1622" "Revista Internacional de Sociologia" "00349712" "" 60
"1623" "Revista Mexicana de Fisica" "0035001X" "" 29
"1624" "Revista Mexicana de Pediatria" "00350052" "" 9
"1625" "Revue Archeologique" "00350737" "" 14
"1626" "Revue Belge de Philologie et de Histoire" "00350818" "" 27
"1627" "Revue Benedictine" "00350893" "" 48
"1628" "Revue Biblique" "00350907" "" 32
"1629" "Revue de Geographie Alpine" "00351121" "" 29
"1630" "Revue de Laryngologie Otologie Rhinologie" "00351334" "" 10
"1631" "Revue de la Histoire des Religions" "00351423" "" 39
"1632" "Revue de Linguistique Romane" "00351458" "" 46
"1633" "Revue de Medecine Veterinaire" "00351555" "" 36
"1634" "Revue de Metaphysique et de Morale" "00351571" "" 24
"1635" "Revue de Micropaleontologie" "00351598" "" 62
"1636" "Revue de Musicologie" "00351601" "" 80
"1637" "Revue de Philologie de Litterature et d Histoire Anciennes" "00351652" "" 21
"1638" "Revue de Qumran" "00351725" "" 66
"1639" "Revue de synthese / Centre international de synthese" "00351776" "" 47
"1640" "Revue de Theologie et de Philosophie" "00351784" "" 21
"1641" "Revue des Etudes Anciennes" "00352004" "" 41
"1642" "Revue des Sciences Humaines" "00352195" "" 13
"1643" "Revue des Sciences Philosophiques et Theologiques" "00352209" "" 5
"1644" "Revue d'Histoire de l'Amerique Francaise" "00352357" "" 21
"1645" "Revue d'Histoire Ecclesiastique" "00352381" "" 32
"1646" "Revue du Nord" "00352624" "" 18
"1647" "Revue du Praticien" "00352640" "" 10
"1648" "Revue Forestiere Francaise" "00352829" "" 8
"1649" "Revue Francaise de Psychanalyse" "00352942" "" 5
"1650" "Revue Francaise de Sociologie" "00352969" "" 50
"1651" "Revue Historique" "00353264" "" 52
"1652" "Revue Medicale de Bruxelles" "00353639" "" 19
"1653" "Revue Neurologique" "00353787" "" 40
"1654" "Revue Philosophique de la France et de La Etranger" "00353833" "" 37
"1655" "Revue Romane" "00353906" "" 63
"1656" "Revue Roumaine de Chimie" "00353930" "" 24
"1657" "Revue Roumaine de Linguistique" "00353957" "" 45
"1658" "Rev Roumaine des Sciences Techniques-Series Electrotechnique et Energetique" "00354066" "" 38
"1659" "Revue Suisse de Zoologie" "0035418X" "" 33
"1660" "Revue Thomiste" "00354295" "" 39
"1661" "Rheologica Acta" "00354511" "" 73
"1662" "Rhodora" "00354902" "" 15
"1663" "RIG Kulturhistorisk Tidskrift" "00355267" "" 4
"1664" "Theoretical Biology Forum" "00356050" "" 12
"1665" "Rivista di Filologia Classica" "00356220" "" 19
"1666" "Rivista di Psichiatria" "00356484" "" 39
"1667" "Rivista di storia della chiesa in Italia" "00356557" "" 14
"1668" "Rivista Geographica Italiana" "00356697" "" 15
"1669" "Rivista Italiana della Saldatura" "00356794" "" 3
"1670" "Rivista Italiana delle Sostanze Grasse" "00356808" "" 8
"1671" "Rivista, Italiana di Paleontologiia e Stratigrafia" "00356883" "" 70
"1672" "Rivista Storica Italiana" "00357073" "" 15
"1673" "Rocks and Minerals" "00357529" "" 7
"1674" "Rocky Mountain Journal of Mathematics" "00357596" "" 31
"1675" "Roczniki Panstwowego Zakladu Higieny" "00357715" "" 68
"1676" "Romance Notes" "00357995" "" 41
"1677" "Romance Philology" "00358002" "" 51
"1678" "Romanische Forschungen" "00358126" "" 7
"1679" "Round Table" "00358533" "" 20
"1680" "Journal of the Royal Army Medical Corps" "00358665" "" 63
"1681" "Annals of the Royal College of Surgeons of England" "00358843" "" 35
"1682" "Journal and Proceedings - Royal Society of New South Wales" "00359173" "" 20
"1683" "Transactions of the Royal Society of South Africa" "0035919X" "" 70
"1684" "Transactions of the Royal Society of Tropical Medicine and Hygiene" "00359203" "" 70
"1685" "Proceedings of the Royal Society of Victoria" "00359211" "" 26
"1686" "Rubber Chemistry and Technology" "00359475" "" 56
"1687" "Rubber World" "00359572" "" 9
"1688" "Russell - Journal of the Bertrand Russell Studies" "00360163" "" 15
"1689" "Russian Journal of Inorganic Chemistry" "00360236" "" 50
"1690" "Russian Journal of Physical Chemistry A" "00360244" "" 16
"1691" "Russian Metallurgy (Metally)" "00360295" "" 22
"1692" "Russian Review" "00360341" "" 96
"1693" "Sacred Music" "00362255" "" 7
"1694" "Salamandra" "00363375" "" 52
"1695" "Salmagundi" "00363529" "" 8
"1696" "Revista do Instituto de Medicina Tropical de Sao Paulo" "00364665" "" 39
"1697" "Sapporo Medical Journal" "0036472X" "" 7
"1698" "Scandinavian Studies" "00365637" "" 64
"1699" "Scandinavica" "00365653" "" 41
"1700" "NTM International Journal of History and Ethics of Natural Sciences, Technology and Medicine" "00366978" "" 82
"1701" "Schweizer Archiv fur Tierheilkunde" "00367281" "" 43
"1702" "Schweizerisches Archiv fur Volkskunde" "0036794X" "" 32
"1703" "Science" "00368075" "" 98
"1704" "Science and Society" "00368237" "" 38
"1705" "Science Progress" "00368504" "" 70
"1706" "Scientific American" "00368733" "" 15
"1707" "Industrial Lubrication and Tribology" "00368792" "" 59
"1708" "Scottish Historical Review" "00369241" "" 79
"1709" "Scottish Journal of Geology" "00369276" "" 47
"1710" "Scottish Medical Journal" "00369330" "" 52
"1711" "Screen Printing" "00369594" "" 10
"1712" "Scripta Theologica" "00369764" "" 82
"1713" "Scriptorium" "00369772" "" 47
"1714" "Sedimentary Geology" "00370738" "" 86
"1715" "Sedimentology" "00370746" "" 91
"1716" "Sefarad" "00370894" "" 44
"1717" "Seikagaku. The Journal of Japanese Biochemical Society" "00371017" "" 0
"1718" "Bulletin of the Seismological Society of America" "00371106" "" 71
"1719" "Seminar - A Journal of Germanic Studies" "00371939" "" 54
"1720" "Seminars in Hematology" "00371963" "" 86
"1721" "Seminars in Roentgenology" "0037198X" "" 21
"1722" "Journal of the Japan Research Association for Textile End-Uses" "00372072" "" 10
"1723" "Shakespeare Quarterly" "00373222" "" 93
"1724" "Showa Igakkai zasshi = The Journal of the Showa Medical Association" "00374342" "" 4
"1725" "Sight and Sound" "00374806" "" 18
"1726" "Simiolus" "00375411" "" 41
"1727" "Simulation" "00375497" "" 57
"1728" "Singapore Medical Journal" "00375675" "" 75
"1729" "Sinn und Form" "00375756" "" 7
"1730" "Slavia" "00376736" "" 54
"1731" "Slavia Orientalis" "00376744" "" 27
"1732" "Slavic and East European Journal" "00376752" "" 77
"1733" "Slavic Review" "00376779" "" 85
"1734" "Slavonic and East European Review" "00376795" "" 95
"1735" "Slovenska Rec/Slovak Speech" "00376981" "" 38
"1736" "Slovo a Slovesnost" "00377031" "" 57
"1737" "Smith College Studies in Social Work" "00377317" "" 34
"1738" "Smithsonian" "00377333" "" 8
"1739" "Social and Economic Studies" "00377651" "" 25
"1740" "Social Compass" "00377686" "" 96
"1741" "Revista Mexicana de Angiologia" "00377740" "" 3
"1742" "Social Problems" "00377791" "" 93
"1743" "Social Research" "0037783X" "" 49
"1744" "Social Security Bulletin" "00377910" "" 32
"1745" "Social Work/Maatskaplike Werk" "00378054" "" 32
"1746" "Boletin de la Sociedad Matematica Mexicana" "00378615" "" 33
"1747" "Revista da Sociedade Brasileira de Medicina Tropical" "00378682" "" 42
"1748" "Bulletin de la Societe de Linguistique de Paris" "00379069" "" 21
"1749" "Bulletin de la Societe de Pathologie Exotique" "00379085" "" 21
"1750" "Annales de la Societe Entomologique de France" "00379271" "" 43
"1751" "Bulletin - Societie Geologique de France" "00379409" "" 59
"1752" "Bulletin de la Societe Mathematique de France" "00379484" "" 62
"1753" "Bulletin de la Societe Royale des Sciences de Liege" "00379565" "" 12
"1754" "Bulletin de la Societe Vaudoise des Sciences Naturelles" "00379603" "" 9
"1755" "Bulletin de la Societe Zoologique de France" "0037962X" "" 4
"1756" "Journal of the Society of Architectural Historians" "00379808" "" 73
"1757" "Sen'i Gakkaishi" "00379875" "" 16
"1758" "Yuki Gosei Kagaku Kyokaishi/Journal of Synthetic Organic Chemistry" "00379980" "" 5
"1759" "Socio-Economic Planning Sciences" "00380121" "" 89
